MRP_WHS_GRP,WS_CD,JOC_CD,VENDOR_CD,VENDOR_DESC,DISB_CHARGE_CD,ITEM_NO,ITEM_DESC,WHS_CD,STD_PACK,PLAN_LOT_SIZE,USAGE_QTY,PLAN_LOT_USAGE_QTY,SUPPLY_QTY,OPEN_QTY,PARENT_ITEM_DESC,START_ECN_ACCUM_QTY,END_ECN_ACCUM_QTY
BTV,FGL02,24601001,108349,BOE TECH (HK) LTD_SCM RM,ITCOCELL,101714111,LIQUID CRYSTAL ELEMENT(B55QUB),RCGS1,1,50,1,50,0,50,SV-41487(CEI)/FW-55BZ30L/CEI,1,50
BTV,FGL02,24331005,005101,RYOKA (MALAYSIA) SDN BHD,INJIT,503337611,BEZEL TP ASSY (L EPH),RC1S1,1,84,1,84,0,84,SV-41724(E33)/KD-55X80L/E33,1,84
BTV,FGL02,24331005,001504,FORMOSA PROSONIC INDUSTRIES BH,OUTJIT,504473111,STAND R (L EPH2) A,RC1S1,1,84,1,84,0,84,SV-41724(E33)/KD-55X80L/E33,1,84
BTV,FGL02,24150010,080012,AUREUMAEX PRECISION PLASTICS M,INJIT,502459014,REAR COVER ASSY (L LYX),RC1S1,1,200,1,200,0,200,SV-41142(PL1)/KD-55X80L/PL1,1,200
BTV,FGL02,24150010,313804,SONY ELECT OPERATIONS (CN) LTD,INJITI,503338801,BEZEL BT ASSY (L EPH),RC1S1,1,200,1,200,0,200,SV-41142(PL1)/KD-55X80L/PL1,1,200
BTV,FGL02,24150010,001504,FORMOSA PROSONIC INDUSTRIES BH,OUTJIT,504473011,STAND L (L EPH2) A,RC1S1,1,200,1,200,0,200,SV-41142(PL1)/KD-55X80L/PL1,1,200
BTV,FGL02,23886005,080012,AUREUMAEX PRECISION PLASTICS M,INJIT,502459014,REAR COVER ASSY (L LYX),RC1S1,1,84,1,84,0,84,SV-41112(VN3)/KD-55X80L/UAF1,1,84
BTV,FGL02,23886005,001802,GS PAPERBOARD & PACKAGING S/B,OUTJITC,502471101,CELL PROTECTOR (L RIS),RC1S1,1,84,1,84,0,84,SV-41112(VN3)/KD-55X80L/UAF1,1,84
BTV,FGL02,23884007,S80003,SONY TAIWAN LIMITED,INJITIOP,503477001,DIFFUSER PLATE (EPH L),RC1S1,1,43,1,43,0,43,SV-41112(VN3)/KD-55X80L/AZ1,1,43
BTV,FGL02,23884007,080156,DYNAPAC GF (MALAYSIA) SDN BHD,OUTJITC,504799601,"CARTON, INDIVIDUAL (L EPH2)",RC1S1,1,43,1,43,0,43,SV-41112(VN3)/KD-55X80L/AZ1,1,43
