Title,TV Manual Pull Card,,,,,,,,,,,,,,,,
Mrp Whs Grp,Ws Cd,Joc Cd,Vendor Cd,Vendor Name,Disb Charge Cd,Item No,Item Desc,Whs Cd,Std Pack,Plan Lot Size,Usage,Plan Lot Usage Qty,Completed Qty,Open Qty,Parent Item Desc,Start ECN Accum Qty,End ECN Accum Qty
MRP_WHS_GRP,WS_CD,JOC_CD,VENDOR_CD,VENDOR_DESC,DISB_CHARGE_CD,ITEM_NO,ITEM_DESC,WHS_CD,STD_PACK,PLAN_LOT_SIZE,USAGE_QTY,PLAN_LOT_USAGE_QTY,SUPPLY_QTY,OPEN_QTY,PARENT_ITEM_DESC,START_ECN_ACCUM_QTY,END_ECN_ACCUM_QTY
BTV,FGL02,22453021,001504,FORMOSA PROSONIC INDUSTRIES BH,SB,501541532,BRACKET SIDE (BNN) A,RC1B3,1,100,1,100,0,100,SV-40042(VN3)/KD-55X81DK/VN3,1,100
BTV,FGL02,22440033,102403,IWATA BOLT SINGAPORE PTE LTD,SP,472654902,"SCREW, M3X3",RC1B1,1,126,6,756,0,756,SV-40039(VN3)/KD-55X80K/AF1,1,126
BTV,FGL02,22440033,000602,CHIYODA INTEGRE CO.(M) SDN BHD,SP,474417701,GASKET SB (3L BGO),RC1B1,1,126,4,504,0,504,SV-40039(VN3)/KD-55X80K/AF1,1,126
BTV,FGL02,22406107,102403,IWATA BOLT SINGAPORE PTE LTD,SP,472654902,"SCREW, M3X3",RC1B1,1,10,6,60,0,60,SV-40039(VN3)/KD-55X80K/VN3,1,10
BTV,FGL02,22406106,PR0162,KEIN HING INDUSTRY SDN BHD,INJIT,503339013,BACK CHASSIS ASSY (L EPH),RC1S1,1,90,1,90,0,90,SV-40039(VN3)/KD-55X80K/VN3,1,90
BTV,FGL03,24715002,005101,RYOKA (MALAYSIA) SDN BHD,SB,502804611,MIDDLE CHASSIS B (2L PHN) A,RC1B3,1,14,1,14,0,14,P-MOD (YSDM065INO01)(SVC),1,14
BTV,FGL03,24630004,005101,RYOKA (MALAYSIA) SDN BHD,SB,500898313,MIDDLE CHASSIS T (2L BNN) A,RC1B3,1,168,1,168,0,168,SV-41498(CEI)/FW-65BZ40L/CEI,1,168
BTV,FGL03,24630004,313804,SONY ELECT OPERATIONS (CN) LTD,BRD,101350922,GL24P-STATIC CONVERTER (TV),RC1B6,1,168,1,168,0,168,SV-41498(CEI)/FW-65BZ40L/CEI,1,168
BTV,FGL03,24626003,005753,TKR PRECISION (M) SDN BHD,ITCI,500906572,SOURCE SHIELD L (2L COM),RC1B7,1,266,1,266,0,266,SV-41485(CEI)/FW-65BZ30L/CEI,1,266
BTV,FGL03,24314007,080006,ORNAPAPER INDUSTRY (M) SDN BHD,OUTJITC,504410301,TRAY (2L CBN),RC1S1,1,90,1,90,0,90,SV-41149(PL1)/XR-65X90L/PL1,1,90
BTV,FGL03,24199006,313804,SONY ELECT OPERATIONS (CN) LTD,ACC,100563421,C7L AC POWER CORD SETS (EU),RC1B2,1,238,1,238,0,238,SV-41132(VN3)/XR-65X90L/IA2,1,238
